status,val_loss,learning_rate,dropout,emb_dim,hidden_dim,rnn_type
Success,3.1872894763946533,0.003,0.4,128,512,RNN
Success,2.8213131427764893,0.001,0.2,128,256,RNN
Success,3.209036350250244,0.003,0.3,128,512,RNN
Success,3.2514748573303223,0.003,0.4,128,512,GRU
Success,2.866063117980957,0.001,0.2,128,256,GRU
Success,3.2863762378692627,0.003,0.3,128,512,GRU
Success,2.8446249961853027,0.003,0.4,128,512,LSTM
Success,2.8400299549102783,0.001,0.2,128,256,LSTM
Success,2.84179162979126,0.003,0.3,128,512,LSTM
Success,3.1872894763946533,0.003,0.4,128,512,RNN
Success,2.8213131427764893,0.001,0.2,128,256,RNN
Success,3.209036350250244,0.003,0.3,128,512,RNN
Success,3.2514748573303223,0.003,0.4,128,512,GRU
Success,2.866063117980957,0.001,0.2,128,256,GRU
Success,3.2863762378692627,0.003,0.3,128,512,GRU
Success,2.8446249961853027,0.003,0.4,128,512,LSTM
Success,2.8400299549102783,0.001,0.2,128,256,LSTM
Success,2.84179162979126,0.003,0.3,128,512,LSTM
Success,3.1872894763946533,0.003,0.4,128,512,RNN
Success,2.8213131427764893,0.001,0.2,128,256,RNN
Success,3.209036350250244,0.003,0.3,128,512,RNN
Success,3.2514748573303223,0.003,0.4,128,512,GRU
Success,2.866063117980957,0.001,0.2,128,256,GRU
Success,3.2863762378692627,0.003,0.3,128,512,GRU
Success,2.8446249961853027,0.003,0.4,128,512,LSTM
Success,2.8400299549102783,0.001,0.2,128,256,LSTM
Success,2.84179162979126,0.003,0.3,128,512,LSTM
Success,2.736932277679444,0.003,0.4,128,512,RNN
Success,3.1558845043182373,0.001,0.2,128,256,RNN
Success,2.6741414070129395,0.003,0.3,128,512,RNN
Success,3.0007686614990234,0.003,0.4,128,512,GRU
Success,3.304708957672119,0.001,0.2,128,256,GRU
Success,2.9621548652648926,0.003,0.3,128,512,GRU
Success,3.3357787132263184,0.003,0.4,128,512,LSTM
Success,3.4205756187438965,0.001,0.2,128,256,LSTM
Success,3.3291542530059814,0.003,0.3,128,512,LSTM
